170,22,93,14,58,47
145,61,63,81,170,151
157,128,120,189,147,43
131,147,64,198,41,85
9,110,23,73,11,178
69,145,21,76,118,74
161,158,206,151,44,201
116,155,123,75,84,28
93,126,182,85,77,103
46,194,195,189,34,205
58,101,205,24,79,175
65,106,0,174,64,152
111,152,133,201,24,140
131,90,100,25,22,10
102,128,111,198,153,91
87,117,140,85,69,97
62,29,180,66,78,91
208,94,121,34,94,74
165,154,111,120,125,124
178,46,192,194,127,173
57,48,10,87,136,204
47,42,167,25,140,199
105,191,86,134,85,73
100,22,152,13,195,64
96,173,18,70,186,104
132,14,173,125,104,199
120,68,97,84,128,161
199,27,20,85,153,36
101,194,112,201,12,85
9,157,117,158,51,4
198,150,107,7,10,79
141,124,191,83,199,21
79,177,92,42,78,122
28,112,117,117,192,51
16,175,40,89,143,118
67,158,54,152,165,100
99,126,207,36,9,77
132,134,57,202,195,187
52,75,8,169,113,40
48,146,65,13,136,6
68,118,50,161,120,24
83,65,110,96,161,35
46,125,14,183,106,53
115,192,64,48,115,156
174,197,127,190,16,29
145,61,103,72,180,119
51,141,93,35,2,142
13,73,168,191,152,54
39,28,115,199,173,139
24,102,24,142,77,44
153,99,76,181,181,206
158,81,195,36,56,205
128,20,117,74,87,178
132,160,122,3,32,155
13,157,100,77,96,3
129,150,194,165,26,175
23,152,180,60,58,83
36,142,68,171,185,73
162,125,172,172,10,196
61,79,183,189,56,197
12,196,14,149,25,5
99,0,25,176,0,89
104,23,21,21,193,5
136,182,10,159,51,85
67,121,76,149,153,22
11,22,3,156,126,72
72,165,189,108,199,143
86,179,16,91,28,143
2,59,141,124,179,34
209,40,187,81,79,143
91,147,159,141,121,154
126,96,180,45,69,108
187,167,127,40,206,56
66,5,74,97,147,8
142,87,68,174,82,201
36,73,200,194,122,33
6,97,113,179,78,3
110,57,42,184,161,73
101,35,131,90,97,99
38,112,164,65,168,142
25,101,201,110,25,10
166,192,46,59,53,69
75,167,185,171,106,26
147,10,131,24,116,117
113,100,122,71,21,178
97,51,11,206,128,159
104,111,202,108,111,13
50,120,147,32,191,24
